2019-04-10 02:36:03 0.2238769531, 0.3632812500, 0.4494628906 0.0095214844, 0.0163574219, 0.0036621094 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:36:13 0.2238769531, 0.3632812500, 0.4494628906 0.0017089844, 0.0002441406, 0.0139160156 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:36:23 0.2238769531, 0.3632812500, 0.4494628906 0.0029296875, 0.0029296875, 0.0100097656 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:36:33 0.2238769531, 0.3632812500, 0.4494628906 0.0156250000, 0.0017089844, 0.0085449219 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:36:43 0.2238769531, 0.3632812500, 0.4494628906 0.0104980469, 0.0031738281, 0.0009765625 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:36:53 0.2238769531, 0.3632812500, 0.4494628906 0.0002441406, 0.0131835938, 0.0134277344 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:37:04 0.2238769531, 0.3632812500, 0.4494628906 0.0048828125, 0.0017089844, 0.0156250000 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:37:14 0.2238769531, 0.3632812500, 0.4494628906 0.0092773438, 0.0058593750, 0.0019531250 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:37:24 0.2238769531, 0.3632812500, 0.4494628906 0.0024414062, 0.0021972656, 0.0046386719 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:37:34 0.2238769531, 0.3632812500, 0.4494628906 0.0026855469, 0.0114746094, 0.0065917969 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:37:44 0.2238769531, 0.3632812500, 0.4494628906 0.0034179688, 0.0014648438, 0.0024414062 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:37:54 0.2238769531, 0.3632812500, 0.4494628906 0.0019531250, 0.0026855469, 0.0034179688 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:38:04 0.2238769531, 0.3632812500, 0.4494628906 0.0024414062, 0.0007324219, 0.0043945312 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:38:14 0.2238769531, 0.3632812500, 0.4494628906 0.0029296875, 0.0109863281, 0.0021972656 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:38:25 0.2238769531, 0.3632812500, 0.4494628906 0.0075683594, 0.0043945312, 0.0012207031 0.1535644531, 0.2722167969, 1.5563964844 
$2019-04-10 02:38:35 0.2238769531, 0.3632812500, 0.4494628906 0.0036621094, 0.0163574219, 0.0019531250 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:38:45 0.2238769531, 0.3632812500, 0.4494628906 0.0026855469, 0.0021972656, 0.0122070312 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:38:55 0.2238769531, 0.3632812500, 0.4494628906 0.0139160156, 0.0012207031, 0.0319824219 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:39:05 0.2238769531, 0.3632812500, 0.4494628906 0.0012207031, 0.0019531250, 0.0024414062 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:39:15 0.2238769531, 0.3632812500, 0.4494628906 0.0112304688, 0.0083007812, 0.0180664062 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:39:25 0.2238769531, 0.3632812500, 0.4494628906 0.0007324219, 0.0046386719, 0.0021972656 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:39:35 0.2238769531, 0.3632812500, 0.4494628906 0.0109863281, 0.0051269531, 0.0161132812 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:39:46 0.2238769531, 0.3632812500, 0.4494628906 0.0026855469, 0.0114746094, 0.0166015625 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:39:56 0.2238769531, 0.3632812500, 0.4494628906 0.0031738281, 0.0002441406, 0.0078125000 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:40:06 0.2238769531, 0.3632812500, 0.4494628906 0.0019531250, 0.0024414062, 0.0097656250 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:40:16 0.2238769531, 0.3632812500, 0.4494628906 0.0024414062, 0.0002441406, 0.0166015625 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:40:26 0.2238769531, 0.3632812500, 0.4494628906 0.0063476562, 0.0002441406, 0.0063476562 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:40:36 0.2238769531, 0.3632812500, 0.4494628906 0.0302734375, 0.0007324219, 0.0070800781 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:40:46 0.2238769531, 0.3632812500, 0.4494628906 0.0009765625, 0.0234375000, 0.0209960938 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:40:56 0.2238769531, 0.3632812500, 0.4494628906 0.0017089844, 0.0075683594, 0.0192871094 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:41:07 0.2238769531, 0.3632812500, 0.4494628906 0.0063476562, 0.0031738281, 0.0126953125 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:41:17 0.2238769531, 0.3632812500, 0.4494628906 0.0097656250, 0.0000000000, 0.0253906250 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:41:27 0.2238769531, 0.3632812500, 0.4494628906 0.0017089844, 0.0036621094, 0.0026855469 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:41:37 0.2238769531, 0.3632812500, 0.4494628906 0.0007324219, 0.0014648438, 0.0100097656 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:41:47 0.2238769531, 0.3632812500, 0.4494628906 0.0085449219, 0.0031738281, 0.0080566406 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:41:57 0.2238769531, 0.3632812500, 0.4494628906 0.0083007812, 0.0024414062, 0.0021972656 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:42:07 0.2238769531, 0.3632812500, 0.4494628906 0.0014648438, 0.0012207031, 0.0014648438 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:42:17 0.2238769531, 0.3632812500, 0.4494628906 0.0190429688, 0.0217285156, 0.0034179688 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:42:28 0.2238769531, 0.3632812500, 0.4494628906 0.0004882812, 0.0112304688, 0.0048828125 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:42:38 0.2238769531, 0.3632812500, 0.4494628906 0.0007324219, 0.0041503906, 0.0014648438 0.1535644531, 0.2722167969, 1.5563964844 
